date,state,cases_pct,deaths_pct,people_fully_vaccinated_per_hundred,variants_total
2020-02-29,Texas,3.9447455899089104e-07,0.0,,
2020-02-29,Utah,3.283694813404042e-07,0.0,,
2020-02-29,Washington,1.3709267025812905e-06,1.3709267025812905e-07,,
2020-02-29,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-01,Arizona,1.4395355482507123e-07,0.0,,
2020-03-01,California,8.429385758322869e-07,0.0,,
2020-03-01,Florida,9.709615028814011e-08,0.0,,
2020-03-01,Illinois,2.3398203813486055e-07,0.0,,
2020-03-01,Massachusetts,1.464087471613174e-07,0.0,,
2020-03-01,Nebraska,6.825006825006825e-06,0.0,,
2020-03-01,New York,5.097241867133968e-08,0.0,,
2020-03-01,Oregon,4.89962745682632e-07,0.0,,
2020-03-01,Rhode Island,1.8928441971548658e-06,0.0,,
2020-03-01,Texas,3.9447455899089104e-07,0.0,,
2020-03-01,Utah,3.283694813404042e-07,0.0,,
2020-03-01,Washington,2.330575394388194e-06,4.1127801077438716e-07,,
2020-03-01,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-02,Arizona,1.4395355482507123e-07,0.0,,
2020-03-02,California,9.70656541867482e-07,0.0,,
2020-03-02,Florida,9.709615028814011e-08,0.0,,
2020-03-02,Georgia,1.9422220029669384e-07,0.0,,
2020-03-02,Illinois,3.119760508464807e-07,0.0,,
2020-03-02,Massachusetts,2.928174943226348e-07,0.0,,
2020-03-02,Nebraska,6.825006825006825e-06,0.0,,
2020-03-02,New Hampshire,7.442569413123632e-07,0.0,,
2020-03-02,New York,5.097241867133968e-08,0.0,,
2020-03-02,Oregon,4.89962745682632e-07,0.0,,
2020-03-02,Rhode Island,1.8928441971548658e-06,0.0,,
2020-03-02,Texas,3.9447455899089104e-07,0.0,,
2020-03-02,Utah,3.283694813404042e-07,0.0,,
2020-03-02,Washington,3.153131415936968e-06,8.225560215487743e-07,,
2020-03-02,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-03,Arizona,2.8790710965014245e-07,0.0,,
2020-03-03,California,1.1494616943167549e-06,0.0,,
2020-03-03,Florida,1.4564422543221015e-07,0.0,,
2020-03-03,Georgia,1.9422220029669384e-07,0.0,,
2020-03-03,Illinois,3.119760508464807e-07,0.0,,
2020-03-03,Massachusetts,2.928174943226348e-07,0.0,,
2020-03-03,Nebraska,6.825006825006825e-06,0.0,,
2020-03-03,New Hampshire,1.4885138826247264e-06,0.0,,
2020-03-03,New York,1.0194483734267936e-07,0.0,,
2020-03-03,North Carolina,9.846760770189995e-08,0.0,,
2020-03-03,Oregon,4.89962745682632e-07,0.0,,
2020-03-03,Rhode Island,1.8928441971548658e-06,0.0,,
2020-03-03,Texas,3.9447455899089104e-07,0.0,,
2020-03-03,Utah,3.283694813404042e-07,0.0,,
2020-03-03,Washington,4.3869654482601294e-06,1.3709267025812905e-06,,
2020-03-03,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-04,Arizona,2.8790710965014245e-07,0.0,,
2020-03-04,California,1.4048976263871448e-06,2.5543593207038996e-08,,
2020-03-04,Florida,1.4564422543221015e-07,0.0,,
2020-03-04,Georgia,1.9422220029669384e-07,0.0,,
2020-03-04,Illinois,3.119760508464807e-07,0.0,,
2020-03-04,Massachusetts,2.928174943226348e-07,0.0,,
2020-03-04,Nebraska,6.825006825006825e-06,0.0,,
2020-03-04,New Hampshire,1.4885138826247264e-06,0.0,,
2020-03-04,New Jersey,1.1258921991996032e-07,0.0,,
2020-03-04,New York,5.606966053847365e-07,0.0,,
2020-03-04,North Carolina,9.846760770189995e-08,0.0,,
2020-03-04,Oregon,4.89962745682632e-07,0.0,,
2020-03-04,Rhode Island,1.8928441971548658e-06,0.0,,
2020-03-04,Texas,4.303358825355175e-07,0.0,,
2020-03-04,Utah,3.283694813404042e-07,0.0,,
2020-03-04,Washington,6.443355502132065e-06,1.5080193728394196e-06,,
2020-03-04,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-05,Arizona,2.8790710965014245e-07,0.0,,
2020-03-05,California,1.711420744871613e-06,2.5543593207038996e-08,,
2020-03-05,Colorado,3.6158904645533355e-07,0.0,,
2020-03-05,Florida,1.9419230057628021e-07,0.0,,
2020-03-05,Georgia,1.9422220029669384e-07,0.0,,
2020-03-05,Illinois,3.899700635581009e-07,0.0,,
2020-03-05,Maryland,4.997139137843585e-07,0.0,,
2020-03-05,Massachusetts,4.392262414839522e-07,0.0,,
2020-03-05,Nebraska,6.825006825006825e-06,0.0,,
2020-03-05,Nevada,6.842638808915548e-07,0.0,,
2020-03-05,New Hampshire,1.4885138826247264e-06,0.0,,
2020-03-05,New Jersey,2.2517843983992063e-07,0.0,,
2020-03-05,New York,1.121393210769473e-06,0.0,,
2020-03-05,North Carolina,9.846760770189995e-08,0.0,,
2020-03-05,Oregon,4.89962745682632e-07,0.0,,
2020-03-05,Rhode Island,1.8928441971548658e-06,0.0,,
2020-03-05,Tennessee,1.5035131840815843e-07,0.0,,
2020-03-05,Texas,5.737811767140234e-07,0.0,,
2020-03-05,Utah,3.283694813404042e-07,0.0,,
2020-03-05,Washington,1.0281950269359678e-05,1.5080193728394196e-06,,
2020-03-05,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-06,Arizona,4.3186066447521373e-07,0.0,,
2020-03-06,California,2.0690310497701587e-06,2.5543593207038996e-08,,
2020-03-06,Colorado,1.4463561858213342e-06,0.0,,
2020-03-06,Florida,3.398365260084904e-07,9.709615028814011e-08,,
2020-03-06,Georgia,2.9133330044504075e-07,0.0,,
2020-03-06,Hawaii,7.032205391029297e-07,0.0,,
2020-03-06,Illinois,4.679640762697211e-07,0.0,,
2020-03-06,Indiana,1.5066081339362578e-07,0.0,,
2020-03-06,Kentucky,2.252148775146367e-07,0.0,,
2020-03-06,Maryland,4.997139137843585e-07,0.0,,
2020-03-06,Massachusetts,1.1712699772905392e-06,0.0,,
2020-03-06,Minnesota,1.8091826149129475e-07,0.0,,
2020-03-06,Nebraska,7.35000735000735e-06,0.0,,
2020-03-06,Nevada,6.842638808915548e-07,0.0,,
2020-03-06,New Hampshire,1.4885138826247264e-06,0.0,,
2020-03-06,New Jersey,4.5035687967984127e-07,0.0,,
2020-03-06,New York,2.242786421538946e-06,0.0,,
2020-03-06,North Carolina,1.969352154037999e-07,0.0,,
2020-03-06,Oklahoma,2.552233370094001e-07,0.0,,
2020-03-06,Oregon,4.89962745682632e-07,0.0,,
2020-03-06,Pennsylvania,1.5635772803152423e-07,0.0,,
2020-03-06,Rhode Island,2.839266295732299e-06,0.0,,
2020-03-06,South Carolina,4.0355735811175514e-07,0.0,,
2020-03-06,Tennessee,1.5035131840815843e-07,0.0,,
2020-03-06,Texas,6.813651473479027e-07,0.0,,
2020-03-06,Utah,9.851084440212127e-07,0.0,,
2020-03-06,Washington,1.1789969642199099e-05,1.6451120430975486e-06,,
2020-03-06,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-07,Arizona,7.197677741253562e-07,0.0,,
2020-03-07,California,2.5543593207038995e-06,2.5543593207038996e-08,,
2020-03-07,Colorado,1.4463561858213342e-06,0.0,,
2020-03-07,District of Columbia,1.4609246484284834e-06,0.0,,
2020-03-07,Florida,5.825769017288406e-07,9.709615028814011e-08,,
2020-03-07,Georgia,6.797777010384284e-07,0.0,,
2020-03-07,Hawaii,7.032205391029297e-07,0.0,,
2020-03-07,Illinois,4.679640762697211e-07,0.0,,
2020-03-07,Indiana,1.5066081339362578e-07,0.0,,
2020-03-07,Kansas,3.4378721496602005e-07,0.0,,
2020-03-07,Kentucky,2.252148775146367e-07,0.0,,
2020-03-07,Maryland,4.997139137843585e-07,0.0,,
2020-03-07,Massachusetts,1.9033137130971262e-06,0.0,,
2020-03-07,Minnesota,1.8091826149129475e-07,0.0,,
2020-03-07,Missouri,1.642019408012595e-07,0.0,,
2020-03-07,Nebraska,7.35000735000735e-06,0.0,,
